"coverage","country","lon","lat"
"1","AR","-55.99731445312501","-27.362010119293444"
"1","BR","-48.81225585937501","-26.18501783298668"
"1","PY","-55.689697265625","-25.532528058874057"
"1","BR","-53.82202148437499","-25.671235417318993"
"1","BR","-50.240478515625","-26.44106514408952"
"1","BR","-51.22924804687501","-29.430028953808023"
"1","BR","-51.42700195312499","-29.4108899255273"
"1","BR","-52.855224609375","-28.642388714794063"
"1","BR","-51.88842773437501","-27.02977030507288"
"1","UY","-56.326904296875","-34.73258371293697"
"1","UY","-55.20629882812499","-34.44315818321061"
"1","AR","-58.50219726562499","-34.40690916546586"
"1","BR","-52.81127929687499","-28.44937341837796"
"1","AR","-58.72192382812501","-33.71520115842439"
"1","BR","-49.449462890625","-27.08847272953271"
"1","BR","-48.856201171875","-26.342652390525956"
"1","UY","-55.008544921875","-34.85888999726145"
"1","BR","-49.075927734375","-28.4686908559756"
"1","BR","-51.207275390625","-27.08847272953271"
"1","BR","-51.866455078125","-28.44937341837796"
"1","BR","-53.95385742187501","-27.440040034323392"
"1","BR","-52.635498046875","-27.186241757536113"
"1","BR","-50.877685546875","-29.315140743519365"
"1","BR","-52.371826171875","-25.413508199760457"
"1","BR","-49.383544921875","-27.537499876557572"
"1","AR","-58.28247070312501","-35.05697993612576"
"1","BR","-48.46069335937501","-27.498526291407003"
"1","BR","-50.635986328125","-25.453194570782593"
"1","BR","-48.790283203125","-28.44937341837796"
"1","BR","-51.22924804687501","-29.888280478096924"
"1","PY","-56.83227539062499","-25.928406618499444"
"1","BR","-51.80053710937501","-30.590636565468532"
"1","BR","-49.38354492187499","-27.693255909656816"
"1","UY","-56.151123046875","-34.660321872099786"
"1","BR","-51.097412109375","-29.69759604899548"
"1","BR","-51.009521484375","-29.964452395086365"
"1","BR","-50.26245117187501","-29.850172670980584"
"1","PY","-57.13989257812501","-25.908644049321087"
"1","BR","-54.700927734375","-28.08167329159339"
"1","AR","-58.48022460937499","-34.9669984120219"
"1","AR","-58.106689453124986","-31.438036704393667"
"1","BR","-53.668212890625","-29.20012302908138"
"1","AR","-58.28247070312501","-25.691037608564802"
"1","BR","-50.328369140625","-26.36234164992481"
"1","BR","-51.756591796875","-29.334297780464514"
"1","AR","-58.634033203125","-26.027169725183786"
"1","BR","-49.60327148437499","-27.24486209279778"
"1","BR","-52.02026367187501","-26.873080541244807"
"1","AR","-55.82153320312501","-27.479034321315"
"1","BR","-51.16333007812501","-29.869228394082366"
"1","PY","-54.920654296875","-25.82956067298361"
"1","UY","-57.491455078125","-33.78827804942948"
"1","BR","-55.18432617187501","-28.04289433550811"
"1","AR","-59.64477539062499","-28.931246525913433"
"1","BR","-51.427001953125","-26.931864731057168"
"1","BR","-49.29565429687501","-26.81426577350816"
"1","AR","-59.71069335937501","-30.96818883206428"
"1","AR","-58.919677734375","-34.55181087715935"
"1","UY","-56.45874023437501","-33.05471600651532"
"1","AR","-58.370361328125","-34.8228222334709"
